hour,rentals,PredictedAvg
0,241.74193548387098,413.81713261648804
1,148.83333333333334,468.62708119058806
2,94.8,523.4370297646881
3,63.233333333333334,578.246978338788
4,66.2258064516129,633.056926912888
5,133.80645161290323,687.8668754869881
6,511.93548387096774,742.676824061088
7,1262.2903225806451,797.4867726351881
8,2167.6451612903224,852.2967212092881
9,1385.483870967742,907.106669783388
10,1030.5483870967741,961.9166183574881
11,1111.0967741935483,1016.7265669315881
12,1270.8064516129032,1071.5365155056882
13,1276.8064516129032,1126.3464640797881
14,1260.6451612903227,1181.156412653888
15,1336.516129032258,1235.966361227988
16,1672.4516129032259,1290.7763098020882
17,2606.8064516129034,1345.5862583761882
18,2594.032258064516,1400.3962069502882
19,1732.3225806451612,1455.2061555243881
20,1175.1290322580646,1510.016104098488
21,820.9032258064516,1564.826052672588
22,651.3870967741935,1619.6360012466882
23,443.7096774193548,1674.4459498207882
